B1676	Tensione batteria fuori campo[Fiat]
B2139	DRM/PCM A interfaccia CAN[Fiat]
B2141	Errore memoria ECU motore[Fiat]
B2175	Compressore condizionatore[Fiat]
C0010	Valvola entrata ABS anteriore sinistra
C0011	Valvola uscita ABS anteriore sinistra
C0014	Valvola entrata ABS anteriore destra
C0015	Valvola uscita ABS anteriore destra
C0018	Valvola entrata ABS posteriore sinistra
C0019	Valvola uscita ABS posteriore sinistra
C0020	Motorino pompa/relè motorino
C0030	Sensore velocita' ruota anteriore sinistra(corona dentata)
C0031	Sensore velocita' ruota anteriore sinistra
C0033	Sensore velocita' ruota anteriore destra(corona dentata)
C0034	Sensore velocita' ruota anteriore destra
C0036	Sensore velocita' ruota posteriore sinistra(corona dentata)
C0037	Sensore velocita' ruota posteriore sinistra
C0039	Sensore velocita' ruota posteriore destra(corona dentata)
C1001	Centralina elettronica(elettroguida)[Fiat]
C1002	Centralina elettronica(elettroguida)[Fiat]
C1003	Centralina elettronica(elettroguida)[Fiat]
C1004	Motore per servosterzo[Fiat]
C1005	Sensore angolo volante[Fiat]
C1006	Sensore coppia sterzante[Fiat]
C1007	Motore per servosterzo(difettoso)[Fiat]
C1008	Motore per servosterzo(interruzione/cortocircuito al positivo)[Fiat]
C1009	Motore per servosterzo(difettoso)[Fiat]
C1010	Tensione di alimentazione[Fiat]
C1011	Tensione di alimentazione[Fiat]
C1012	Segnale velocità[Fiat]
C1013	Segnale di carico alternatore[Fiat]
C1014	Spia guasto elettroguida[Fiat]
C1015	Centralina elettronica(elettroguida)[Fiat]
C1016	Motore per servosterzo(difettoso)[Fiat]
C1035	Sensore velocita' ruota anteriore sinistra[Fiat]
C1036	Sensore velocita' anteriore sinistra[Fiat]
C1037	Ruota fonica anteriore sinistra[Fiat]
C1040	Sensore velocita' ruota anteriore destra[Fiat]
C1041	Sensore velocita' anteriore destra[Fiat]
C1042	Ruota fonica anteriore destra[Fiat]
C1045	Sensore velocita' ruota posteriore sinistra[Fiat]
C1046	Sensore velocita' posteriore sinistra[Fiat]
C1047	Ruota fonica posteriore sinistra[Fiat]
C1050	Sensore velocita' ruota posteriore destra[Fiat]
C1051	Sensore velocita' posteriore destra[Fiat]
C1052	Ruota fonica posteriore destra[Fiat]
C1060	Valvola uscita ABS anteriore sinistra[Fiat]
C1065	Valvola entrata ABS anteriore sinistra[Fiat]
C1070	Valvola uscita ABS anteriore destra[Fiat]
C1075	Valvola entrata ABS anteriore destra[Fiat]
C1080	Valvola uscita ABS posteriore sinistra[Fiat]
C1085	Valvola entrata ABS posteriore sinistra[Fiat]
C1090	Valvola uscita ABS posteriore destra[Fiat]
C1095	Valvola entrata ABS posteriore destra[Fiat]
C1098	Errore elettrovalvole[Fiat]
C1100	Codice variante assente[Fiat]
C1101	Messaggio CAN centralina comando motore[Fiat]
C1103	Codice variante non valido[Fiat]
C1107	Spia guasti[Fiat]
C1108	Linea seriale[Fiat]
C1110	Motorino pompa/relè motorino[Fiat]
C1112	Sensore angolo di sterzata[Fiat]
C1116	Messaggio CAN ACC[Fiat]
C1117	Sensore angolo di sterzata[Fiat]
C1121	Relè elettrovalvola[Fiat]
C1131	Sensore pressione[Fiat]
C1133	Interruttore pedale frizione[Fiat]
C1134	Messaggio CAN centralina comando cambio[Fiat]
C1141	Valvola di commutazione 1[Fiat]
C1146	Valvola di aspirazione 1[Fiat]
C1151	Valvola di commutazione 2[Fiat]
C1156	Valvola di aspirazione 2[Fiat]
C1161	Interruttore luci d'arresto[Fiat]
C1200	Sensore velocita' ruota anteriore destra interruzzione/cortocircuito[Fiat]
C1201	Sensore velocita' ruota anteriore destra segnale errato/assente[Fiat]
C1205	Sensore velocita' ruota anteriore sinistra interruzzione/cortocircuito[Fiat]
C1206	Sensore velocita' ruota anteriore sinistra segnale errato/assente[Fiat]
C1210	Sensore velocita' ruota posteriore destra interruzzione/cortocircuito[Fiat]
C1211	Sensore velocita' ruota posteriore destra segnale errato/assente[Fiat]
C1215	Sensore velocita' ruota posteriore sinistra interruzzione/cortocircuito[Fiat]
C1216	Sensore velocita' ruota posteriore sinistra segnale errato/assente[Fiat]
C1226	Valvola scarico anteriore destra[Fiat]
C1231	Valvola entrata anteriore destra[Fiat]
C1236	Valvola scarico anteriore sinistra[Fiat]
C1241	Valvola entrata anteriore sinistra[Fiat]
C1246	Valvola scarico posteriore destra[Fiat]
C1250	Confronto segnali giri ruota/velocità veicolo(non plausibile)[Fiat]
C1251	Valvola entrata posteriore destra[Fiat]
C1256	Valvola scarico posteriore sinistra[Fiat]
C1260	Valvola di aspirazione 1[Fiat]
C1261	Valvola entrata posteriore sinistra[Fiat]
C1262	Valvola di aspirazione 2[Fiat]
C1265	Valvola di commutazione 1[Fiat]
C1266	Motorino pompa/Relé motorino[Fiat]
C1267	Valvola di commutazione 2[Fiat]
C1276	Relé elettrovalvola[Fiat]
C1281	Livello liquido freni troppo basso[Fiat]
C1315	Sensore angolo di imbardata[Fiat]
C1325	Sensore accelerazione trasversale[Fiat]
C1335	Sensore longitudinale[Fiat]
C1340	Interruttore luci d'arresto[Fiat]
C1341	Attivazione luce freno per intervento ACC[Fiat]
C1355	Sensore accelerazione trasversale[Fiat]
C1360	Sensore angolo di inbardata[Fiat]
C1412	Sensore angolo di sterzata[Fiat]
C1417	Sensore angolo di sterzata[Fiat]
C1435	Sensore longitudinale non calibrato[Fiat]
C1482	Pompa di precarico[Fiat]
C1500	Corona dentata numero denti errato[Fiat]
C1504	Regolazione ESP(plausibilità)[Fiat]
C1505	Sensore angolo di sterzata[Fiat]
C1506	Regolazione ESP(collegamento passivo interferenza)[Fiat]
C1507	Interfaccia stumento multiplo[Fiat]
C1508	Sensore angolo di sterzata (nessuna inizializzazione)[Fiat]
